sno,name,resource_group_name,location
,,,
,SHARED-ARGAPP-ASG01,SH-JHAZ-SHARED-001-RGP-01,australiaeast
,SHARED-AZ-CITRIX-ENDPOINT,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-PROXY-SQUID,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-SMB-ACCESS,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-VENDOR-JUMPBOX,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-WEBACCESS,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-DBACOL,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-LDAP,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-PROXY,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-PROXY-PAC,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-PROXY-SW,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-SMTP,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-PCTAPP-ASG01,SH-JHAZ-SHARED-001-RGP-01,eastus
,,,
,INFRA-AZ-CITRIX-ENDPOINT,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-AZ-PROXY-SQUID,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-AZ-SMB-ACCESS,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-AZ-VENDOR-JUMPBOX,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-DBACOL,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-LDAP,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-PROXY,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-PROXY-PAC,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-PROXY-SW,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-SMTP,SH-JHAZ-INFRA-001-RGP-01,eastus
,,,
,CITRIXPOC-AZ-CITRIX-ENDPOINT,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-AZ-PROXY-SQUID,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-AZ-SMB-ACCESS,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-AZ-VENDOR-JUMPBOX,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-ONP-DBACOL,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-ONP-LDAP,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-ONP-PROXY,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-ONP-PROXY-PAC,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-ONP-PROXY-SW,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIXPOC-ONP-SMTP,SH-JHAZ-CITRIX-001-RGP-01,eastus
