sno,name,resource_group_name,location
,CITRIX-AZ-CITRIX-ENDPOINT,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-AZ-PROXY-SQUID,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-AZ-SMB-ACCESS,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-AZ-VENDOR-JUMPBOX,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-JUMPBOX,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-SCCM,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-ADSERVICES,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-DBACOL,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-LDAP,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-PROXY,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-PROXY-SW,SH-JHAZ-CITRIX-001-RGP-01,eastus
,CITRIX-ONP-SMTP,SH-JHAZ-CITRIX-001-RGP-01,eastus
,INFRA-AZ-CITRIX-ENDPOINT,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-AZ-PROXY-SQUID,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-AZ-SMB-ACCESS,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-AZ-VENDOR-JUMPBOX,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-JUMPBOX,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-SCCM,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-ADSERVICES,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-DBACOL,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-LDAP,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-PROXY,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-PROXY-SW,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-ONP-SMTP,SH-JHAZ-INFRA-001-RGP-01,eastus
,INFRA-AZ-NMSVM,SH-JHAZ-INFRA-001-RGP-01,eastus
,SHARED-AZ-CITRIX-ENDPOINT,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-PROXY-SQUID,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-SMB-ACCESS,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-VENDOR-JUMPBOX,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-JUMPBOX,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-SCCM,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-ADSERVICES,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-WEBACCESS,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-CANONCDCA,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-AZ-VMSAPP,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-DBACOL,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-LDAP,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-PROXY,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-PROXY-SW,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-SMTP,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-HTTP80,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-IBMSPSS,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-ONP-HELPDESK,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED-EH-EMAIL,SH-JHAZ-SHARED-001-RGP-01,eastus
,SHARED901-AZ-CITRIX-ENDPOINT,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-AZ-PROXY-SQUID,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-AZ-SMB-ACCESS,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-AZ-VENDOR-JUMPBOX,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-JUMPBOX,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-SCCM,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-ADSERVICES,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-AZ-WEBACCESS,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-DBACOL,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-LDAP,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-PROXY,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-PROXY-SW,SH-JHAZ-SHARED-901-RGP-01,eastus
,SHARED901-ONP-SMTP,SH-JHAZ-SHARED-901-RGP-01,eastus
,POC901-AZ-CITRIX-ENDPOINT,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-AZ-PROXY-SQUID,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-AZ-SMB-ACCESS,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-AZ-VENDOR-JUMPBOX,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-JUMPBOX,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-SCCM,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-ADSERVICES,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-AZ-WEBACCESS,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-DBACOL,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-LDAP,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-PROXY,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-PROXY-SW,SH-JHAZ-POC-901-RGP-01,eastus
,POC901-ONP-SMTP,SH-JHAZ-POC-901-RGP-01,eastus
,INFMGMT001-AZ-CITRIX-ENDPOINT,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-AZ-PROXY-SQUID,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-AZ-SMB-ACCESS,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-AZ-VENDOR-JUMPBOX,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-JUMPBOX,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-SCCM,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-ADSERVICES,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-AZ-WEBACCESS,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-DBACOL,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-LDAP,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-PROXY,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-PROXY-SW,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-SMTP,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-ONP-HTTP80,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT001-EH-EMAIL,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT901-AZ-CITRIX-ENDPOINT,SH-JHAZ-INFMGMT-001-RGP-01,eastus
,INFMGMT901-AZ-PROXY-SQUID,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-AZ-SMB-ACCESS,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-AZ-VENDOR-JUMPBOX,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-JUMPBOX,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-SCCM,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-ADSERVICES,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-AZ-WEBACCESS,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-DBACOL,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-LDAP,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-PROXY,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-PROXY-SW,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-SMTP,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-ONP-HTTP80,SH-JHAZ-INFMGMT-901-RGP-01,eastus
,INFMGMT901-EH-EMAIL,SH-JHAZ-INFMGMT-901-RGP-01,eastus
